reset,
5565,4.9
5658,4.6
5751,4.2
5844,3.8
5938,3.5
6031,3.1
6124,2.6
6217,2.1
6309,1.6
6403,1.1
6496,0.9
6589,0.8
6682,0.7
6775,0.8
6868,1.2
6962,1.6
7055,2.2
7148,2.7
7241,3.2
7333,3.6
7427,4.1
7520,4.5
7613,4.7
7706,5
7799,5.2
7892,5.2
7986,5.1
8079,4.8
8172,4.5
8265,4.1
8358,3.7
8451,3.3
8544,3
8637,2.7
8730,2.4
8823,2.1
8916,1.8
9010,1.5
9103,1.3
9196,1.1
9289,1
9382,0.8
9476,0.7
9568,0.7
9661,0.8
9754,1.1
9847,1.5
9940,1.8
10034,2.2
10127,2.7
10220,3.2
10313,3.5
10406,3.9
10500,4.2
10593,4.5
10685,4.8
10778,5
10871,5.1
10964,5
11058,4.6
11151,4.2
11244,3.8
11337,3.3
11430,2.9
11524,2.6
11617,2.2
11709,1.9
11802,1.6
11895,1.3
11988,1.2
12082,1.1
12175,1
12268,0.9
12361,0.7
12454,0.6
12548,0.4
12641,0.3
12734,0.4
12826,0.6
12919,0.9
13012,1.2
13106,1.7
13199,2.2
13292,2.8
13385,3.2
13478,3.6
13572,4
13665,4.3
13758,4.5
13851,4.6
13943,4.7
14036,4.7
14130,4.5
14223,4.2
14316,3.8
14409,3.4
14502,2.8
14596,2.4
14689,2
14782,1.7
14875,1.4
14967,1.2
15060,1
15154,0.9
15247,0.8
15340,0.6
15433,0.5
15526,0.3
15620,0.1
15713,0
15806,-0.1
15899,-0.1
15992,0.1
16084,0.6
16178,1.2
16271,1.8
16364,2.3
16457,2.8
16550,3.2
16644,3.5
16737,3.7
16830,4
16923,4.1
17016,4.1
17110,4
17202,3.9
17295,3.7
17388,3.5
17481,3.5
17574,3.5
17668,3.3
17761,2.8
17854,2.2
17947,1.6
18040,1.2
18134,0.8
18226,0.5
18319,0.3
18412,0.2
18505,0.1
18598,0
18692,0
18785,0.1
18878,0.5
18971,1.2
19064,1.8
19158,2.3
19251,2.8
19343,3
19436,3.2
19529,3.3
19622,3.3
19716,3.3
19809,3.2
19902,3.1
19995,3.1
20088,3.1
20182,2.8
20275,2.1
20368,1.6
20460,1.2
20553,0.9
20646,0.7
20740,0.6
20833,0.4
20926,0.4
21019,0.4
21112,0.4
21206,0.3
21299,0.4
21392,0.6
21485,1
21577,1.4
21670,1.9
21764,2.5
21857,3
21950,3.2
22043,3.3
22136,3.3
22230,3.3
22323,3.3
22416,3.2
22509,3.2
22602,3.1
22694,2.9
