reset,
43443,-0.2
43536,-0.2
43629,-0.2
43722,-0.3
43815,-0.2
43909,-0.2
44002,-0.2
44095,-0.2
44188,-0.2
44281,-0.2
44375,-0.2
44468,-0.3
44561,-0.2
44653,-0.2
44746,-0.2
44839,-0.2
44933,-0.2
45026,-0.2
45119,-0.2
45212,-0.2
45305,-0.2
45399,-0.2
45492,-0.2
45585,-0.3
45678,-0.2
45771,-0.2
45864,-0.2
45958,-0.2
46051,-0.2
46143,-0.2
46236,-0.2
46329,
