reset,
7313,0
7406,0
7499,0
7592,0
7686,0
7779,0
7872,0
7964,0
8057,0
8151,0.1
8244,0.7
8337,1.9
8430,2.8
8523,3.1
8616,3
8710,3.2
8803,3.6
8896,3.8
8989,3.7
9081,3.6
9175,3.3
9268,2.5
9361,1.4
9454,0.6
9547,0.2
9640,0
9734,0
9827,0
9920,-0.1
10013,0
10106,0
10200,0
10292,0
10385,0
10478,0
10571,0
10664,0
10758,0
10851,0
10944,0
11037,0.1
11130,0.2
11224,0.6
11317,1.6
11410,2.8
11502,3.8
11595,4.1
11688,4.2
11782,4.4
11875,4.6
11968,4.9
12061,5.1
12154,4.7
12248,3.9
12341,2.9
12434,1.8
12527,0.7
12619,0.1
12712,0.1
12806,0
12899,-0.1
12992,-0.1
13085,-0.1
13178,-0.1
13272,-0.1
13365,-0.1
13458,-0.1
13551,-0.1
13644,-0.1
13736,-0.1
13830,-0.1
13923,-0.1
14016,-0.1
14109,0
14202,0
14296,0.2
14389,1.2
14482,2.3
14575,3
14668,2.9
14761,2.5
14854,2.5
14947,2.9
15040,3.2
15133,3.3
15226,3.4
15320,3.2
15413,2.9
15506,2.4
15599,1.8
15692,1
15785,0.2
15879,0
15972,0
16064,0
16157,0
16250,0
16344,0
16437,0
16530,0
16623,0
16716,0
16809,0
16903,0
16996,0
17089,0
17181,0
17274,0.1
17368,0.9
17461,2.4
17554,3.4
17647,3.4
17740,2.8
17833,2.6
17927,2.9
18020,3.2
18113,3
18206,2.6
18298,2.7
18392,2.8
18485,2.5
18578,2
18671,1.4
18764,0.5
18857,0
18951,0
19044,0
19137,0
19230,0
19323,-0.1
19417,-0.1
19509,0
19602,0
19695,0
19788,-0.1
19881,-0.1
19975,-0.1
20068,0
20161,0
20254,0
20347,0
20441,0.6
20534,1.9
20626,3
20719,3.2
20812,2.9
20905,2.8
20999,2.9
21092,2.9
21185,2.6
21278,2.6
21371,2.8
21465,2.8
21558,2.6
21651,2.1
21743,1.1
21836,0.1
21929,0.1
22023,0
22116,0
22209,0
22302,0
22395,0
22489,0
22582,0
22675,0
22768,0
22860,0
22953,0
23047,0
23140,0
23233,0
23326,0
